iter	Passed	Remaining
0	4	893
1	7	767
2	10	715
3	14	686
4	17	678
5	20	661
6	23	655
7	26	645
8	29	634
9	32	626
10	36	621
11	39	614
12	42	609
13	45	604
14	48	600
15	51	595
16	55	596
17	58	592
18	61	589
19	64	584
20	68	579
21	71	574
22	74	570
23	77	566
24	80	563
25	83	556
26	86	552
27	89	548
28	92	545
29	96	544
30	99	540
31	102	538
32	105	534
33	108	531
34	112	528
35	115	525
36	118	522
37	121	519
38	124	515
39	128	513
40	131	511
41	134	507
42	137	503
43	140	499
44	144	496
45	147	492
46	150	488
47	153	485
48	156	481
49	159	478
50	162	474
51	165	470
52	168	467
53	171	463
54	174	459
55	177	456
56	179	450
57	182	447
58	185	443
59	188	439
60	191	435
61	194	431
62	196	428
63	199	424
64	202	421
65	205	417
66	208	413
67	211	410
68	214	406
69	217	403
70	220	400
71	223	396
72	225	393
73	228	389
74	231	386
75	234	383
76	237	379
77	240	376
78	243	372
79	246	369
80	249	366
81	252	363
82	255	359
83	258	356
84	260	353
85	264	350
86	266	346
87	269	343
88	272	339
89	274	336
90	277	332
91	280	329
92	283	325
93	285	322
94	288	318
95	291	315
96	294	312
97	296	308
98	299	305
99	302	302
100	304	298
101	307	295
102	310	292
103	313	289
104	315	285
105	318	282
106	321	279
107	324	276
108	326	272
109	329	269
110	332	266
111	335	263
112	338	260
113	340	257
114	343	253
115	346	250
116	348	247
117	351	244
118	354	241
119	357	238
120	360	235
121	363	232
122	366	229
123	368	226
124	371	223
125	374	219
126	377	216
127	379	213
128	382	210
129	385	207
130	388	204
131	391	201
132	393	198
133	396	195
134	399	192
135	401	189
136	404	186
137	407	183
138	410	179
139	412	176
140	415	173
141	418	170
142	420	167
143	423	164
144	426	161
145	428	158
146	431	155
147	434	152
148	437	149
149	439	146
150	442	143
151	445	140
152	448	137
153	451	134
154	454	131
155	457	129
156	460	126
157	462	123
158	465	120
159	468	117
160	471	114
161	474	111
162	476	108
163	479	105
164	482	102
165	485	99
166	488	96
167	490	93
168	493	90
169	496	87
170	498	84
171	500	81
172	503	78
173	505	75
174	508	72
175	511	69
176	514	66
177	516	63
178	519	60
179	522	58
180	525	55
181	527	52
182	530	49
183	533	46
184	535	43
185	538	40
186	541	37
187	543	34
188	545	31
189	548	28
190	551	25
191	553	23
192	556	20
193	559	17
194	562	14
195	565	11
196	567	8
197	570	5
198	573	2
199	576	0
